id,date,authority,notice_title,violation_category,app_count,example_apps,legal_basis,rectification_deadline,source_id,verification,evidence_quote,conflict_note
cac-2026-04-27-cat1,2026-04-27,中央网信办秘书局,关于33款App个人信息收集使用问题的通报,无个人信息收集使用规则或首次运行未以弹窗等明显方式提示用户阅读,15,全能查询宝;商伴同恒,网络安全法;个人信息保护法;网络数据安全管理条例;App违法违规收集使用个人信息行为认定方法,15个工作日,app-notice-2026-04-33apps,confirmed,一、全能查询宝、商伴同恒等15款App无个人信息收集使用规则或在首次运行时未通过弹窗等明显方式提示用户阅读个人信息收集使用规则,
cac-2026-04-27-cat2,2026-04-27,中央网信办秘书局,关于33款App个人信息收集使用问题的通报,未逐一列出收集使用个人信息的SDK且未取得用户同意,2,雅思斩单词;票豆,网络安全法;个人信息保护法;网络数据安全管理条例;App违法违规收集使用个人信息行为认定方法,15个工作日,app-notice-2026-04-33apps,confirmed,二、雅思斩单词、票豆等2款App未逐一列出收集使用个人信息的SDK，未取得用户同意,
cac-2026-04-27-cat3,2026-04-27,中央网信办秘书局,关于33款App个人信息收集使用问题的通报,违反必要原则收集与所提供服务无关的个人信息,4,贝利自动点击器;万达普惠,网络安全法;个人信息保护法;网络数据安全管理条例;App违法违规收集使用个人信息行为认定方法,15个工作日,app-notice-2026-04-33apps,confirmed,三、贝利自动点击器、万达普惠等4款App违反必要原则，收集与其提供的服务无关的个人信息,
cac-2026-04-27-cat4,2026-04-27,中央网信办秘书局,关于33款App个人信息收集使用问题的通报,未提供有效账号注销途径或为注销设置不合理条件,12,初念;零零汽,网络安全法;个人信息保护法;网络数据安全管理条例;App违法违规收集使用个人信息行为认定方法,15个工作日,app-notice-2026-04-33apps,confirmed,四、初念、零零汽等12款App未提供有效账号注销途径或为用户注销账号设置不合理条件,
cac-2026-06-11-cat1,2026-06-11,中央网信办秘书局,关于30款App个人信息收集使用问题的通报,未公开个人信息收集使用规则,7,锐新教育;趣学车,网络安全法;个人信息保护法;网络数据安全管理条例;App违法违规收集使用个人信息行为认定方法,15个工作日,app-notice-2026-06-11,confirmed,一、锐新教育、趣学车等7款App未公开个人信息收集使用规则（详见下表）。,
cac-2026-06-11-cat2,2026-06-11,中央网信办秘书局,关于30款App个人信息收集使用问题的通报,频繁索要非必要权限,4,蓝猫云商;大象优品,网络安全法;个人信息保护法;网络数据安全管理条例;App违法违规收集使用个人信息行为认定方法,15个工作日,app-notice-2026-06-11,confirmed,二、蓝猫云商、大象优品等4款App频繁索要非必要权限（详见下表）。,
cac-2026-06-11-cat3,2026-06-11,中央网信办秘书局,关于30款App个人信息收集使用问题的通报,未完整准确列明SDK收集使用个人信息情况,5,中旅旅行;东融,网络安全法;个人信息保护法;网络数据安全管理条例;App违法违规收集使用个人信息行为认定方法,15个工作日,app-notice-2026-06-11,confirmed,三、中旅旅行、东融等5款App未完整准确列明SDK收集使用个人信息情况（详见下表）。,
cac-2026-06-11-cat4,2026-06-11,中央网信办秘书局,关于30款App个人信息收集使用问题的通报,未提供有效账号注销功能,14,匠者;句苗岛,网络安全法;个人信息保护法;网络数据安全管理条例;App违法违规收集使用个人信息行为认定方法,15个工作日,app-notice-2026-06-11,confirmed,四、匠者、句苗岛等14款App未提供有效账号注销功能（详见下表）。,
cac-2025-05-06-sdk,2025-05-06,中央网信办秘书局,关于15款App和16款SDK个人信息收集使用问题的通报,SDK未提供个人信息收集使用规则、未说明如何协助App响应用户权利请求、未及时响应投诉举报,16,CTP穿透采集;金仕达穿透采集,网络安全法;个人信息保护法;网络数据安全管理条例;App违法违规收集使用个人信息行为认定方法,15个工作日,app-notice-2025-05-06,confirmed,二、CTP穿透采集、金仕达穿透采集等16款SDK收集使用个人信息,
cac-2025-05-06-app,2025-05-06,中央网信办秘书局,关于15款App和16款SDK个人信息收集使用问题的通报,"未逐一列出收集使用个人信息的SDK,未准确列出SDK收集使用个人信息的目的、方式、范围",15,墨迹天气tv版;医家,网络安全法;个人信息保护法;网络数据安全管理条例;App违法违规收集使用个人信息行为认定方法,15个工作日,app-notice-2025-05-06,confirmed,一、墨迹天气tv版、医家等15款App存在未逐一列出收集使用个人信息的SDK，未准确列出SDK收集使用个人信息的目的、方式、范围等问题（详见下表）。,
cac-2026-08-19-notified,2026-08-19,中央网信办;工业和信息化部;公安部,2026年个人信息保护系列专项行动取得阶段性成效,专项行动累计公开通报的问题App、SDK总量,1100,,网络安全法;个人信息保护法;网络数据安全管理条例;App违法违规收集使用个人信息行为认定方法,,special-action-progress-2026-08-19,confirmed,公开通报1100余款存在违法违规问题的App、SDK，对400余款采取下架等处置处罚措施,"原文为「1100余款」,为约数;app_count 取下界1100,引用时应写「1100余款」。 行动主体为「中央网信办、工业和信息化部、公安部会同相关部门」,非仅网信办。"
cac-2026-08-19-delisted,2026-08-19,中央网信办;工业和信息化部;公安部,2026年个人信息保护系列专项行动取得阶段性成效,被采取下架等处置处罚措施的App、SDK,400,,网络安全法;个人信息保护法;网络数据安全管理条例;App违法违规收集使用个人信息行为认定方法,,special-action-progress-2026-08-19,confirmed,对400余款采取下架等处置处罚措施,"原文为「400余款」,为约数;约占被通报量的36%,该比例为本库计算非官方口径。 行动主体为「中央网信办、工业和信息化部、公安部会同相关部门」,非仅网信办。"
cac-2026-08-19-adtargeting,2026-08-19,中央网信办;工业和信息化部;公安部,2026年个人信息保护系列专项行动取得阶段性成效,"未明确告知个人信息用于广告、用户画像,未提供个性化广告关闭选项",,,网络安全法;个人信息保护法;网络数据安全管理条例;App违法违规收集使用个人信息行为认定方法,,special-action-progress-2026-08-19,confirmed,未明确收集个人信息用于广告、用户画像，未提供个性化广告关闭选项等问题,"该项为专项行动核查检测发现的问题类型,归档原文未给出对应App数量,故 app_count 留空(不猜)。"
