id,kind,obligation,quote,why_actionable,status,topic,source_id,doc,conflict_note
network-data-risk-assessment-2026-08-20-deadline,deadline,重要数据处理者须在年度风险评估完成后20个工作日内向主管部门报送风险评估报告，主管部门不明确的报省级或国家网信部门。,重要数据处理者应当在年度风险评估完成后的20个工作日内按照有关主管部门要求向其报送风险评估报告,合规官须把年度网络数据安全风险评估的完成日期作为倒计时起点，20个工作日内完成报送并确定报送对象（主管部门/省级网信/国家网信）。,in_force,audit,network-data-risk-assessment-2026-08-20,06-数据分类分级与合规审计.md,
network-data-risk-assessment-2026-08-20-procedure,procedure,《网络数据安全风险评估办法》自2026年8月20日起施行，为现行有效的强制性规则。,《网络数据安全风险评估办法》于2026年8月20日起施行,"生效日已到，合规官须立即将年度风险评估与报送纳入当年合规日历，不能再按""待施行""处理。",in_force,general,network-data-risk-assessment-2026-08-20,01-法律法规体系.md,
large-pi-processor-draft-draft-2026-08-07-threshold,threshold,"（征求意见稿）处理1000万人以上自然人个人信息是""大型个人信息处理者""认定的量化门槛之一。",（一）处理1000万人以上自然人个人信息；,合规官须先统计自身个人信息主体人数是否达到1000万，据此判断未来是否落入大型处理者专属义务体系；当前仅为征求意见稿，不得对外宣称已生效。,draft_for_comment,platform,large-pi-processor-draft-draft-2026-08-07,01-法律法规体系.md,
large-pi-processor-draft-draft-2026-08-07-deadline,deadline,（征求意见稿）达标者须主动通过省级网信部门向国家网信部门申报大型个人信息处理者认定，省级部门15个工作日内完成材料完备性查验。,省级网信部门应当自收到申报材料之日起15个工作日内完成完备性查验,合规官需预备申报材料包并预留15个工作日查验窗口；未主动申报的会被监管督促申报，国家网信部门另会公告大型处理者清单，须自查是否在列。,draft_for_comment,platform,large-pi-processor-draft-draft-2026-08-07,01-法律法规体系.md,
large-pi-processor-draft-draft-2026-08-07-deadline-2,deadline,（征求意见稿）被认定后6个月内须成立以外部成员为主的个人信息保护监督委员会，并经省级网信部门向国家网信部门报送成立情况、工作规则与成员名单。,大型个人信息处理者应当自被认定之日起6个月内成立主要由外部成员组成的个人信息保护监督委员会,合规官须按6个月倒排：选聘外部成员、做背景审查、制定工作规则、完成报送；征求意见稿阶段可先做预案不作为已生效义务执行。,draft_for_comment,audit,large-pi-processor-draft-draft-2026-08-07,01-法律法规体系.md,
large-pi-processor-draft-draft-2026-08-07-procedure,procedure,（征求意见稿）监督委员会成员须为单数且不少于7名，外部成员占比不低于三分之二，负责人由外部成员担任。,不少于7名，外部成员占比不低于三分之二,合规官据此测算至少需外聘5名符合独立性条件（近一年无任职/持股1%以上等）的外部专家，且单人同时受聘不得超过3家。,draft_for_comment,audit,large-pi-processor-draft-draft-2026-08-07,01-法律法规体系.md,
large-pi-processor-draft-draft-2026-08-07-deadline-3,deadline,（征求意见稿）自被认定之日起30个工作日内须向所在地设区的市级网信部门报送个人信息保护负责人、履职保障措施及数据中心基本信息；信息变更后30个工作日内报送变更。,大型个人信息处理者应当自被认定之日起30个工作日内向所在地设区的市级网信部门报送下列信息,合规官须建立PIPO与数据中心信息台账并设变更触发报送流程，报送对象是市级网信部门（区别于监督委员会走省级转国家级）。,draft_for_comment,audit,large-pi-processor-draft-draft-2026-08-07,01-法律法规体系.md,
large-pi-processor-draft-draft-2026-08-07-deadline-4,deadline,（征求意见稿）上线涉及自动化决策、敏感个人信息处理等重大影响的产品功能须事前做影响评估，并在评估完成后15个工作日内经省级网信部门报国家网信部门备案。,并在评估完成后的15个工作日内通过所在地省级网信部门将影响评估报告报国家网信部门备案,合规官须把PIA备案卡进产品发布流程（评估在上线前、备案在评估后15个工作日内），并保存影响评估报告至少三年。,draft_for_comment,general,large-pi-processor-draft-draft-2026-08-07,06-数据分类分级与合规审计.md,
large-pi-processor-draft-draft-2026-08-07-filing,filing,（征求意见稿）须每两年至少开展一次个人信息保护合规审计、每年开展一次个人信息处理活动风险评估，并至少每两年报送合规审计报告、每年第一季度报送监督委员会上年度履职情况。,大型个人信息处理者应当每两年至少开展一次个人信息保护合规审计，每年对其个人信息处理活动开展风险评估,合规官须排两条不同周期的审计/评估日历（2年审计、1年风评），并预留每年Q1的监督委员会履职情况报送窗口。,draft_for_comment,audit,large-pi-processor-draft-draft-2026-08-07,06-数据分类分级与合规审计.md,
large-pi-processor-draft-draft-2026-08-07-procedure-2,procedure,（征求意见稿）须每年编制并于上半年发布上一年度个人信息保护社会责任报告，内容含监督委员会履职情况与外部成员津贴标准。,大型个人信息处理者应当每年编制并于上半年发布上一年度个人信息保护社会责任报告,合规官须在每年6月30日前完成上年度社会责任报告公开发布，并在报告中披露外部成员独立性评估专项意见与津贴标准。,draft_for_comment,audit,large-pi-processor-draft-draft-2026-08-07,01-法律法规体系.md,
large-pi-processor-draft-draft-2026-08-07-procedure-3,procedure,（征求意见稿）境内运营中收集和产生的个人信息须存储在境内，且数据中心须设在境内、其管理机构法定代表人或实际控制人具有中国国籍。,大型个人信息处理者应当将在中华人民共和国境内运营中收集和产生的个人信息存储在境内,合规官须核查存储架构与数据中心供应商的注册地及法定代表人国籍，委托第三方数据中心的须签书面合同约定第十四、十五条义务。,draft_for_comment,platform,large-pi-processor-draft-draft-2026-08-07,04-数据跨境专题.md,
